State,County,G_16,M_16,US_16,U_16,V_16,H_16,G_17,M_17,US_17,U_17,V_17,H_17,IO_16,IO_17,healthy
California,Alameda,0.6530054644808743,0.30601092896174864,0.03551912568306011,0.00546448087431694,0.0,0.0,0.5178082191780822,0.4438356164383562,0.024657534246575342,0.010958904109589041,0.0027397260273972603,0.0,1.0,0.0,0
California,Amador,0.8306010928961749,0.1557377049180328,0.01366120218579235,0.0,0.0,0.0,0.8038674033149171,0.1850828729281768,0.011049723756906077,0.0,0.0,0.0,1.0,1.0,1
California,Butte,0.46174863387978143,0.49453551912568305,0.04371584699453552,0.0,0.0,0.0,0.41643835616438357,0.5178082191780822,0.06301369863013699,0.0027397260273972603,0.0,0.0,1.0,1.0,0
California,Calaveras,0.6338797814207651,0.30601092896174864,0.060109289617486336,0.0,0.0,0.0,0.4774011299435028,0.4830508474576271,0.03389830508474576,0.005649717514124294,0.0,0.0,1.0,1.0,1
California,Colusa,0.7431693989071039,0.2568306010928962,0.0,0.0,0.0,0.0,0.7506849315068493,0.2273972602739726,0.019178082191780823,0.0027397260273972603,0.0,0.0,1.0,1.0,0
California,Contra Costa,0.7841530054644809,0.20765027322404372,0.00819672131147541,0.0,0.0,0.0,0.6082191780821918,0.3589041095890411,0.021917808219178082,0.010958904109589041,0.0,0.0,1.0,0.0,0
California,El Dorado,0.6065573770491803,0.27595628415300544,0.08469945355191257,0.03278688524590164,0.0,0.0,0.649171270718232,0.26519337016574585,0.0856353591160221,0.0,0.0,0.0,1.0,1.0,0
California,Fresno,0.25136612021857924,0.46174863387978143,0.2185792349726776,0.06830601092896176,0.0,0.0,0.27945205479452057,0.3917808219178082,0.2547945205479452,0.07123287671232877,0.0027397260273972603,0.0,1.0,1.0,0
California,Glenn,0.7154696132596685,0.2845303867403315,0.0,0.0,0.0,0.0,0.7780821917808219,0.20273972602739726,0.019178082191780823,0.0,0.0,0.0,1.0,1.0,1
California,Humboldt,0.8879781420765027,0.11202185792349727,0.0,0.0,0.0,0.0,0.8653846153846154,0.10989010989010989,0.01098901098901099,0.01098901098901099,0.0027472527472527475,0.0,1.0,1.0,1
California,Kern,0.1912568306010929,0.4918032786885246,0.2786885245901639,0.03825136612021858,0.0,0.0,0.20821917808219179,0.410958904109589,0.3150684931506849,0.06575342465753424,0.0,0.0,1.0,1.0,0
California,Kings,0.23224043715846995,0.5655737704918032,0.19398907103825136,0.00819672131147541,0.0,0.0,0.2602739726027397,0.5397260273972603,0.14246575342465753,0.057534246575342465,0.0,0.0,1.0,1.0,0
California,Los Angeles,0.08743169398907104,0.6284153005464481,0.22131147540983606,0.05191256830601093,0.01092896174863388,0.0,0.10410958904109589,0.5671232876712329,0.20273972602739726,0.10410958904109589,0.021917808219178082,0.0,1.0,1.0,0
California,Madera,0.3360655737704918,0.5273224043715847,0.1284153005464481,0.00819672131147541,0.0,0.0,0.38904109589041097,0.4794520547945205,0.11506849315068493,0.01643835616438356,0.0,0.0,1.0,1.0,0
California,Marin,0.9262295081967213,0.07377049180327869,0.0,0.0,0.0,0.0,0.7945205479452054,0.18356164383561643,0.0136986301369863,0.00821917808219178,0.0,0.0,1.0,0.0,0
California,Mariposa,0.5983606557377049,0.3469945355191257,0.05191256830601093,0.00273224043715847,0.0,0.0,0.5205479452054794,0.3698630136986301,0.08493150684931507,0.024657534246575342,0.0,0.0,1.0,1.0,0
California,Mendocino,0.9175824175824175,0.08241758241758242,0.0,0.0,0.0,0.0,0.7479452054794521,0.23013698630136986,0.019178082191780823,0.0027397260273972603,0.0,0.0,1.0,1.0,1
California,Merced,0.43169398907103823,0.4726775956284153,0.09016393442622951,0.00546448087431694,0.0,0.0,0.44505494505494503,0.46153846153846156,0.08516483516483517,0.008241758241758242,0.0,0.0,1.0,1.0,0
California,Monterey,0.8879781420765027,0.08196721311475409,0.00819672131147541,0.02185792349726776,0.0,0.0,0.8328767123287671,0.1643835616438356,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
California,Napa,0.8087431693989071,0.1912568306010929,0.0,0.0,0.0,0.0,0.6291208791208791,0.3324175824175824,0.019230769230769232,0.013736263736263736,0.005494505494505495,0.0,0.0,0.0,1
California,Nevada,0.6420765027322405,0.23497267759562843,0.1092896174863388,0.01366120218579235,0.0,0.0,0.547945205479452,0.23013698630136986,0.16986301369863013,0.052054794520547946,0.0,0.0,1.0,1.0,0
California,Orange,0.4098360655737705,0.5491803278688525,0.03551912568306011,0.00546448087431694,0.0,0.0,0.4054794520547945,0.5068493150684932,0.0821917808219178,0.005479452054794521,0.0,0.0,1.0,1.0,0
California,Placer,0.5601092896174863,0.3442622950819672,0.08196721311475409,0.01366120218579235,0.0,0.0,0.5753424657534246,0.3315068493150685,0.08767123287671233,0.005479452054794521,0.0,0.0,1.0,1.0,0
California,Plumas,0.704225352112676,0.2647887323943662,0.028169014084507043,0.0028169014084507044,0.0,0.0,0.6296296296296297,0.29914529914529914,0.04843304843304843,0.022792022792022793,0.0,0.0,0.0,0.0,0
California,Riverside,0.12021857923497267,0.5273224043715847,0.23497267759562843,0.10109289617486339,0.01092896174863388,0.00546448087431694,0.14246575342465753,0.4438356164383562,0.273972602739726,0.1178082191780822,0.01643835616438356,0.005479452054794521,1.0,1.0,0
California,Sacramento,0.5109289617486339,0.3770491803278688,0.09289617486338798,0.01912568306010929,0.0,0.0,0.4328767123287671,0.4712328767123288,0.09041095890410959,0.005479452054794521,0.0,0.0,1.0,1.0,0
California,San Benito,0.8333333333333334,0.15300546448087432,0.01366120218579235,0.0,0.0,0.0,0.8164383561643835,0.1780821917808219,0.005479452054794521,0.0,0.0,0.0,1.0,1.0,0
California,San Bernardino,0.07650273224043716,0.546448087431694,0.21311475409836064,0.13114754098360656,0.03278688524590164,0.0,0.08493150684931507,0.5095890410958904,0.20273972602739726,0.13972602739726028,0.06301369863013699,0.0,1.0,1.0,0
California,San Diego,0.1885245901639344,0.6967213114754098,0.1092896174863388,0.00546448087431694,0.0,0.0,0.2273972602739726,0.6027397260273972,0.15342465753424658,0.01643835616438356,0.0,0.0,1.0,1.0,0
California,San Francisco,0.8493150684931506,0.1506849315068493,0.0,0.0,0.0,0.0,0.7561643835616438,0.22465753424657534,0.019178082191780823,0.0,0.0,0.0,0.0,0.0,0
California,San Joaquin,0.3770491803278688,0.5519125683060109,0.06830601092896176,0.00273224043715847,0.0,0.0,0.5068493150684932,0.40273972602739727,0.09041095890410959,0.0,0.0,0.0,0.0,1.0,0
California,San Luis Obispo,0.48360655737704916,0.4918032786885246,0.02185792349726776,0.00273224043715847,0.0,0.0,0.3917808219178082,0.5863013698630137,0.021917808219178082,0.0,0.0,0.0,1.0,1.0,0
California,San Mateo,0.8273972602739726,0.1726027397260274,0.0,0.0,0.0,0.0,0.8054794520547945,0.17534246575342466,0.010958904109589041,0.00821917808219178,0.0,0.0,0.0,0.0,1
California,Santa Barbara,0.7131147540983607,0.2540983606557377,0.02459016393442623,0.00546448087431694,0.0,0.00273224043715847,0.6767123287671233,0.273972602739726,0.019178082191780823,0.024657534246575342,0.005479452054794521,0.0,1.0,1.0,1
California,Santa Clara,0.7431693989071039,0.2540983606557377,0.00273224043715847,0.0,0.0,0.0,0.6575342465753424,0.3095890410958904,0.024657534246575342,0.00821917808219178,0.0,0.0,1.0,1.0,0
California,Santa Cruz,0.9480874316939891,0.05191256830601093,0.0,0.0,0.0,0.0,0.8547945205479452,0.13424657534246576,0.010958904109589041,0.0,0.0,0.0,1.0,1.0,0
California,Shasta,0.8142076502732241,0.14754098360655737,0.03825136612021858,0.0,0.0,0.0,0.7205479452054795,0.2410958904109589,0.03287671232876712,0.005479452054794521,0.0,0.0,1.0,1.0,0
